filename,label,source,duration
real_0001.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0002.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0003.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0004.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0005.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0006.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0007.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0008.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0009.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0010.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0011.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0012.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0013.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0014.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0015.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0016.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0017.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0018.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0019.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0020.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0021.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0022.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0023.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0024.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0025.wav,real,Salim Ghauri  NETSOL  09.06.2025.mp3,3
real_0026.wav,real,imran khan.mp3,3
real_0027.wav,real,imran khan.mp3,3
real_0028.wav,real,imran khan.mp3,3
real_0029.wav,real,imran khan.mp3,3
real_0030.wav,real,imran khan.mp3,3
real_0031.wav,real,imran khan.mp3,3
real_0032.wav,real,imran khan.mp3,3
real_0033.wav,real,imran khan.mp3,3
real_0034.wav,real,imran khan.mp3,3
real_0035.wav,real,imran urdu.mp3,3
real_0036.wav,real,imran urdu.mp3,3
real_0037.wav,real,imran urdu.mp3,3
real_0038.wav,real,imran urdu.mp3,3
real_0039.wav,real,imran urdu.mp3,3
real_0040.wav,real,imran urdu.mp3,3
real_0041.wav,real,imran urdu.mp3,3
real_0042.wav,real,imran urdu.mp3,3
real_0043.wav,real,imran urdu.mp3,3
real_0044.wav,real,imran urdu.mp3,3
real_0045.wav,real,real_001.wav,3
real_0046.wav,real,real_001.wav,3
real_0047.wav,real,real_001.wav,3
real_0048.wav,real,real_001.wav,3
real_0049.wav,real,real_002.wav,3
real_0050.wav,real,real_002.wav,3
real_0051.wav,real,real_002.wav,3
real_0052.wav,real,real_002.wav,3
real_0053.wav,real,real_003.wav,3
real_0054.wav,real,real_003.wav,3
real_0055.wav,real,real_003.wav,3
real_0056.wav,real,real_004.wav,3
real_0057.wav,real,real_004.wav,3
real_0058.wav,real,real_004.wav,3
real_0059.wav,real,real_005.wav,3
real_0060.wav,real,real_005.wav,3
real_0061.wav,real,real_005.wav,3
real_0062.wav,real,real_005.wav,3
real_0063.wav,real,real_005.wav,3
real_0064.wav,real,real_006.wav,3
real_0065.wav,real,real_006.wav,3
real_0066.wav,real,real_006.wav,3
real_0067.wav,real,real_007.wav,3
real_0068.wav,real,real_007.wav,3
real_0069.wav,real,real_007.wav,3
real_0070.wav,real,real_008.wav,3
real_0071.wav,real,real_008.wav,3
real_0072.wav,real,real_008.wav,3
real_0073.wav,real,real_009.wav,3
real_0074.wav,real,real_009.wav,3
real_0075.wav,real,real_009.wav,3
real_0076.wav,real,real_010.wav,3
real_0077.wav,real,real_010.wav,3
real_0078.wav,real,real_010.wav,3
real_0079.wav,real,real_010.wav,3
