filename,label,source,language_mix,date_added
real_001.wav,real,youtube,urdu+english,2026-05-28
real_002.wav,real,youtube,urdu+english,2026-05-28
real_003.wav,real,youtube,urdu+english,2026-05-28
real_004.wav,real,youtube,urdu+english,2026-05-28
real_005.wav,real,youtube,urdu+english,2026-05-28
real_006.wav,real,youtube,urdu+english,2026-05-28
real_007.wav,real,youtube,urdu+english,2026-05-28
real_008.wav,real,youtube,urdu+english,2026-05-28
real_009.wav,real,youtube,urdu+english,2026-05-28
real_010.wav,real,youtube,urdu+english,2026-05-28
real_011.wav,real,youtube,urdu+english,2026-05-28
real_012.wav,real,youtube,urdu+english,2026-05-28
real_013.wav,real,youtube,urdu+english,2026-05-28
real_014.wav,real,youtube,urdu+english,2026-05-28
real_015.wav,real,youtube,urdu+english,2026-05-28
real_016.wav,real,youtube,urdu+english,2026-05-28
real_017.wav,real,youtube,urdu+english,2026-05-28
real_018.wav,real,youtube,urdu+english,2026-05-28
real_019.wav,real,youtube,urdu+english,2026-05-28
real_020.wav,real,youtube,urdu+english,2026-05-28
real_021.wav,real,youtube,urdu+english,2026-05-28
real_022.wav,real,youtube,urdu+english,2026-05-28
real_023.wav,real,youtube,urdu+english,2026-05-28
real_024.wav,real,youtube,urdu+english,2026-05-28
real_025.wav,real,youtube,urdu+english,2026-05-28
real_026.wav,real,youtube,urdu+english,2026-05-28
real_027.wav,real,youtube,urdu+english,2026-05-28
real_028.wav,real,youtube,urdu+english,2026-05-28
real_029.wav,real,youtube,urdu+english,2026-05-28
real_030.wav,real,youtube,urdu+english,2026-05-28
real_031.wav,real,youtube,urdu+english,2026-05-28
real_032.wav,real,youtube,urdu+english,2026-05-28
real_033.wav,real,youtube,urdu+english,2026-05-28
real_034.wav,real,youtube,urdu+english,2026-05-28
real_035.wav,real,youtube,urdu+english,2026-05-28
real_036.wav,real,youtube,urdu+english,2026-05-28
real_037.wav,real,youtube,urdu+english,2026-05-28
real_038.wav,real,youtube,urdu+english,2026-05-28
real_039.wav,real,youtube,urdu+english,2026-05-28
